trigger,text,icon
start_day_1,"Первый день в новом подземелье, мимик.",master
,"Никогда не забывай, кто твой хозяин! Кто нашел тебя маленьким, беспомощным мимиченком и выкормил. Я!",master
,"Все как обычно. Жри приключенцев, собирай их сокровища. Да побольше!",master
,"Я вернусь в конце дня, проверю выполнил ли ты норму. Если все хорошо, то получишь порцию своего любимого мимик-бургера. Но если нет... тебе не понравится!",master
,%*#&&^$$))@#$&%! (перевод с языка мимиков: «Я накоплю достаточно денег и выкуплю себя из этого тухлого подземелья!»),mimic
,"Не знаю, что ты там рычишь, но считаю это знаком согласия. Не забывай, что некоторые сокровища значительно ценнее, если лежат рядом друг с другом!",master
,Не разочаруй меня.,
,"""%**(((%;№№! (перевод с языка мимиков: «Темный властелин меня не уважает!»",mimic
end_day_1,"Так-так-так! Посмотрим, что ты добыл сегодня.",master
,"Молись, чтобы всего хватило!",master
,";№;;""::?*! (перевод с языка мимиков: «Молись, чтобы я не откусил тебе руку!»)",mimic
start_day_2,Подозрительное у тебя выражение лица. Ты что-то замышляешь против меня?,master
,"^*$%&""""%:! (перевод с языка мимиков: «Ну и параноик. Но да»)",master
,"Более опытные приключенцы могут распознать в тебе мимика, и тогда придется сражаться. ",master
,"Кидай в них предметы, которые могут нанести урон! А если таких нет, то просто кусайся!",master
,%$#%@(! (перевод с языка мимиков: «Не учи мимика мимичить!»),mimic
end_day_2,"|'{{]%#$! (перевод с языка мимиков: «Сейчас припрется, опять будет орать!»)",mimic
,%^^$**^^! (перевод с языка мимиков: «Но свобода уже близка! Я чувствую!»),mimic
,Сам с собой уже разговариваешь? Правильно! Потому что я с тобой разговаривать совершенно не хочу! Показывай улов!,master
start_day_3,"Мое новое творение, Мимик 3000, почти готов! Очень скоро я смогу избавиться от этого бесполезного...",master
,Кхм. Чего уставился? Ну-ка за работу!,master
,^%%$*&#*#*^&! (перевод с языка мимиков: «Терпение мимиков не безгранично! А я самый граничный из мимиков!»),mimic
,&^*^%^! (перевод с языка мимиков: «Сегодня последний день под его игом!»),mimic
end_day_3,Давай сюда сокровища!,master
,^&^%%^%^! (перевод с языка мимиков: «Я выполнил все квоты! Выпусти меня из подземелья!»),mimic
,"Что рычишь? Что это такое? Ты что... думал, что сможешь себя выкупить?! Ахаха... конечно же...",master
,"Да! Не придется вызывать перевозчиков мебели, чтобы вынести якобы старый разваленный сундук...",master
,"^&^%%^%^! (перевод с языка мимиков: «Ну все! Сейчас я тебя покус... стоп, что? Он согласился?»)",mimic
,^%$^#^%! (перевод с языка мимиков: «Свобода! Свобода!»),mimic
